order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,total_amount,status
O00088,C0015,P019,2024-11-05,1,1626.41,5,1545.09,processing
O00089,C0060,P044,2024-10-13,3,160.62,0,481.86,delivered
O00090,C0104,P021,2024-01-08,10,3458.12,0,34581.2,delivered
O00091,C0036,P037,2024-12-22,10,2276.64,5,21628.08,delivered
O00092,C0078,P042,2024-05-24,1,3974.66,0,3974.66,delivered
O00093,C0110,P021,2024-09-19,1,3458.12,15,2939.4,delivered
O00094,C0145,P024,2024-07-08,10,402.94,0,4029.4,delivered
O00095,C0068,P011,2024-10-10,1,1288.96,15,1095.62,delivered
O00096,C0128,P020,2024-06-17,1,1553.27,0,1553.27,delivered
O00097,C0079,P038,2024-12-16,2,466.31,0,932.62,shipped
O00098,C0150,P050,2024-08-23,3,1742.23,0,5226.69,shipped
O00099,C0053,P010,2024-09-07,3,2591.45,0,7774.35,processing
O00100,C0194,P004,2024-02-08,2,1682.61,15,2860.44,shipped
O00101,C0002,P032,2024-11-18,1,1270.56,0,1270.56,shipped
O00102,C0003,P015,2024-07-10,2,1951.61,0,3903.22,shipped
O00103,C0187,P037,2024-01-09,3,2276.64,0,6829.92,delivered
O00104,C0004,P002,2024-05-20,2,3948.93,5,7502.97,delivered
O00105,C0153,P033,2024-04-01,5,2510.24,0,12551.2,delivered
O00106,C0048,P017,2024-09-26,1,4011.7,0,4011.7,delivered
O00107,C0123,P006,2024-07-26,1,2339.17,0,2339.17,delivered
O00108,C0070,P021,2024-02-11,3,3458.12,5,9855.64,processing
O00109,C0009,P006,2024-07-12,2,2339.17,5,4444.42,delivered
O00110,C0003,P012,2024-08-10,1,1804.15,5,1713.94,delivered
O00111,C0030,P040,2024-04-27,10,2724.58,0,27245.8,processing
O00112,C0172,P037,2024-02-08,1,2276.64,5,2162.81,delivered
O00113,C0166,P043,2024-04-01,3,1028.86,15,2623.59,delivered
O00114,C0065,P044,2024-12-30,1,160.62,10,144.56,cancelled
O00115,C0094,P012,2024-10-17,2,1804.15,10,3247.47,delivered
O00116,C0164,P026,2024-03-12,1,739.6,10,665.64,shipped
O00117,C0025,P039,2024-06-26,3,1618.34,0,4855.02,delivered
O00118,C0024,P026,2024-11-10,2,739.6,20,1183.36,delivered
O00119,C0101,P002,2024-08-18,2,3948.93,0,7897.86,delivered
O00120,C0118,P033,2024-10-26,1,2510.24,5,2384.73,delivered
O00121,C0188,P020,2024-12-31,3,1553.27,0,4659.81,delivered
O00122,C0119,P049,2024-07-18,1,3222.41,0,3222.41,delivered
O00123,C0002,P021,2024-05-18,2,3458.12,0,6916.24,delivered
O00124,C0134,P034,2024-09-19,2,1331.02,0,2662.04,delivered
O00125,C0109,P042,2024-11-02,1,3974.66,10,3577.19,processing
O00126,C0004,P020,2024-02-13,2,1553.27,10,2795.89,delivered
O00127,C0079,P043,2024-12-16,2,1028.86,0,2057.72,delivered
O00128,C0095,P019,2024-02-02,2,1626.41,0,3252.82,delivered
O00129,C0094,P037,2024-07-03,3,2276.64,0,6829.92,delivered
O00130,C0190,P038,2024-04-10,2,466.31,0,932.62,delivered
O00131,C0002,P031,2024-11-13,1,2661.41,0,2661.41,processing
O00132,C0136,P026,2024-11-29,2,739.6,20,1183.36,delivered
O00133,C0100,P045,2024-04-12,10,4024.19,0,40241.9,delivered
O00134,C0123,P024,2024-12-21,1,402.94,5,382.79,cancelled
O00135,C0079,P024,2024-07-20,1,402.94,0,402.94,cancelled
O00136,C0063,P044,2024-04-02,10,160.62,5,1525.89,delivered
O00137,C0143,P015,2024-05-29,2,1951.61,10,3512.9,delivered
O00138,C0126,P038,2024-06-04,1,466.31,0,466.31,shipped
O00139,C0131,P030,2024-11-02,1,1878.9,0,1878.9,delivered
O00140,C0154,P032,2024-07-03,2,1270.56,10,2287.01,processing
O00141,C0181,P049,2024-02-25,10,3222.41,10,29001.69,shipped
O00142,C0109,P012,2024-01-23,2,1804.15,5,3427.89,shipped
O00143,C0195,P031,2024-06-18,10,2661.41,20,21291.28,delivered
O00144,C0003,P007,2024-09-18,1,4063.13,10,3656.82,delivered
O00145,C0175,P016,2024-07-19,2,2502.68,0,5005.36,shipped
O00146,C0153,P011,2024-01-13,1,1288.96,0,1288.96,delivered
O00147,C0026,P008,2024-03-13,5,2304.66,0,11523.3,delivered
O00148,C0064,P040,2024-08-31,2,2724.58,0,5449.16,shipped
O00149,C0140,P024,2024-01-23,1,402.94,10,362.65,delivered
O00150,C0106,P050,2024-03-25,1,1742.23,15,1480.9,shipped
O00151,C0157,P013,2024-06-18,2,1679.66,5,3191.35,cancelled
O00152,C0074,P031,2024-04-05,2,2661.41,5,5056.68,delivered
O00153,C0008,P047,2024-08-18,5,3602.77,5,17113.16,delivered
O00154,C0066,P015,2024-12-26,1,1951.61,10,1756.45,delivered
O00155,C0032,P041,2024-06-15,1,3567.68,0,3567.68,delivered
O00156,C0150,P040,2024-06-09,10,2724.58,5,25883.51,shipped
O00157,C0178,P008,2024-08-22,1,2304.66,5,2189.43,processing
O00158,C0094,P047,2024-12-10,2,3602.77,0,7205.54,delivered
O00159,C0096,P008,2024-12-21,1,2304.66,0,2304.66,delivered
O00160,C0181,P010,2024-08-04,2,2591.45,0,5182.9,shipped
O00161,C0195,P013,2024-09-07,2,1679.66,0,3359.32,delivered
O00162,C0140,P047,2024-07-02,1,3602.77,20,2882.22,delivered
O00163,C0061,P030,2024-09-15,10,1878.9,5,17849.55,delivered
O00164,C0150,P032,2024-08-15,3,1270.56,0,3811.68,delivered
O00165,C0008,P016,2024-05-20,1,2502.68,0,2502.68,delivered
O00166,C0142,P043,2024-09-10,3,1028.86,5,2932.25,delivered
O00167,C0035,P019,2024-07-06,3,1626.41,5,4635.27,shipped
O00168,C0136,P041,2024-08-05,1,3567.68,0,3567.68,processing
O00169,C0080,P021,2024-01-17,5,3458.12,0,17290.6,delivered
O00170,C0027,P034,2024-03-01,5,1331.02,10,5989.59,delivered
O00171,C0178,P027,2024-11-08,5,202.94,5,963.97,delivered
O00172,C0043,P015,2024-01-31,5,1951.61,5,9270.15,delivered
O00173,C0181,P041,2024-12-26,1,3567.68,0,3567.68,delivered
O00174,C0156,P007,2024-07-29,1,4063.13,15,3453.66,cancelled
O00175,C0197,P010,2024-03-08,3,2591.45,0,7774.35,shipped
O00176,C0080,P031,2024-10-22,2,2661.41,5,5056.68,shipped
O00177,C0118,P034,2024-02-17,1,1331.02,0,1331.02,shipped
O00178,C0115,P036,2024-06-16,10,2471.25,5,23476.88,processing
O00179,C0028,P036,2024-12-23,2,2471.25,0,4942.5,delivered
O00180,C0162,P031,2024-08-07,1,2661.41,10,2395.27,delivered
O00181,C0100,P020,2024-10-22,1,1553.27,0,1553.27,processing
O00182,C0106,P004,2024-11-16,1,1682.61,10,1514.35,delivered
O00183,C0037,P012,2024-01-01,2,1804.15,20,2886.64,delivered
O00184,C0041,P050,2024-05-20,1,1742.23,0,1742.23,delivered
O00185,C0026,P028,2024-11-28,3,1850.64,0,5551.92,delivered
O00186,C0096,P016,2024-02-16,2,2502.68,10,4504.82,delivered
O00187,C0147,P005,2024-04-25,1,4073.13,5,3869.47,delivered
O00188,C0003,P026,2024-08-04,5,739.6,5,3513.1,delivered
O00189,C0073,P030,2024-02-22,1,1878.9,0,1878.9,delivered
O00190,C0094,P010,2024-03-09,1,2591.45,5,2461.88,shipped
O00191,C0021,P040,2024-11-08,2,2724.58,5,5176.7,delivered
O00192,C0066,P049,2024-07-29,3,3222.41,5,9183.87,delivered
O00193,C0067,P006,2024-03-12,5,2339.17,10,10526.26,delivered
O00194,C0120,P027,2024-06-10,10,202.94,10,1826.46,delivered
O00195,C0195,P006,2024-11-03,1,2339.17,5,2222.21,shipped
O00196,C0007,P021,2024-11-06,1,3458.12,5,3285.21,shipped
O00197,C0093,P050,2024-05-02,1,1742.23,0,1742.23,delivered
O00198,C0152,P049,2024-09-27,2,3222.41,15,5478.1,delivered
O00199,C0112,P024,2024-10-18,1,402.94,0,402.94,delivered
O00200,C0055,P037,2024-02-07,10,2276.64,0,22766.4,delivered
O00201,C0084,P015,2024-01-31,1,1951.61,15,1658.87,delivered
O00202,C0091,P049,2024-07-31,3,3222.41,0,9667.23,delivered
O00203,C0193,P041,2024-03-19,2,3567.68,0,7135.36,delivered
O00204,C0155,P015,2024-03-20,10,1951.61,5,18540.3,delivered
O00205,C0192,P050,2024-02-03,3,1742.23,0,5226.69,delivered
O00206,C0078,P004,2024-08-10,1,1682.61,0,1682.61,shipped
O00207,C0016,P021,2024-12-02,3,3458.12,10,9336.92,delivered
O00208,C0043,P001,2024-06-26,1,4905.76,5,4660.47,shipped
O00209,C0083,P012,2024-05-17,1,1804.15,10,1623.74,delivered
O00210,C0008,P026,2024-05-19,5,739.6,5,3513.1,delivered
O00211,C0175,P049,2024-08-21,1,3222.41,5,3061.29,delivered
O00212,C0172,P012,2024-05-10,1,1804.15,10,1623.74,processing
O00213,C0035,P016,2024-01-02,3,2502.68,0,7508.04,processing
O00214,C0079,P003,2024-07-15,2,3152.43,15,5359.13,delivered
O00215,C0010,P042,2024-12-31,5,3974.66,10,17885.97,delivered
O00216,C0100,P017,2024-06-12,2,4011.7,0,8023.4,delivered
O00217,C0117,P008,2024-01-27,2,2304.66,0,4609.32,processing
O00218,C0013,P031,2024-08-26,1,2661.41,15,2262.2,shipped
O00219,C0097,P024,2024-08-21,1,402.94,0,402.94,delivered
O00220,C0171,P021,2024-05-04,3,3458.12,0,10374.36,delivered
O00221,C0151,P014,2024-10-06,3,4450.74,10,12017.0,delivered
O00222,C0002,P032,2024-10-04,1,1270.56,0,1270.56,processing
O00223,C0003,P026,2024-12-02,1,739.6,0,739.6,shipped
O00224,C0096,P007,2024-05-01,1,4063.13,0,4063.13,cancelled
O00225,C0045,P019,2024-04-28,1,1626.41,15,1382.45,delivered
O00226,C0117,P036,2024-02-13,10,2471.25,5,23476.88,delivered
O00227,C0193,P031,2024-10-17,1,2661.41,0,2661.41,shipped
O00228,C0041,P017,2024-06-10,1,4011.7,15,3409.95,delivered
O00229,C0101,P024,2024-04-29,2,402.94,0,805.88,delivered
O00230,C0177,P007,2024-03-25,1,4063.13,0,4063.13,delivered
O00231,C0036,P041,2024-04-16,1,3567.68,0,3567.68,delivered
O00232,C0036,P006,2024-12-17,1,2339.17,0,2339.17,shipped
O00233,C0183,P003,2024-06-16,1,3152.43,0,3152.43,shipped
O00234,C0110,P031,2024-12-12,2,2661.41,0,5322.82,processing
O00235,C0055,P002,2024-08-19,10,3948.93,5,37514.84,delivered
O00236,C0030,P036,2024-03-12,1,2471.25,0,2471.25,delivered
O00237,C0068,P010,2024-07-24,1,2591.45,0,2591.45,shipped
O00238,C0195,P006,2024-05-12,2,2339.17,15,3976.59,delivered
O00239,C0020,P014,2024-08-15,10,4450.74,10,40056.66,delivered
O00240,C0102,P008,2024-08-24,1,2304.66,0,2304.66,cancelled
O00241,C0134,P031,2024-07-14,2,2661.41,5,5056.68,delivered
O00242,C0066,P013,2024-08-16,1,1679.66,15,1427.71,delivered
O00243,C0188,P047,2024-05-31,1,3602.77,0,3602.77,processing
O00244,C0147,P004,2024-07-15,1,1682.61,0,1682.61,delivered
O00245,C0160,P017,2024-10-05,2,4011.7,10,7221.06,cancelled
O00246,C0110,P037,2024-09-05,2,2276.64,0,4553.28,delivered
O00247,C0100,P030,2024-01-14,1,1878.9,0,1878.9,delivered
O00248,C0089,P004,2024-08-29,5,1682.61,5,7992.4,shipped
O00249,C0074,P012,2024-12-02,1,1804.15,0,1804.15,delivered
O00250,C0016,P016,2024-07-17,2,2502.68,0,5005.36,processing
O00251,C0055,P013,2024-06-11,1,1679.66,10,1511.69,shipped
O00252,C0179,P002,2024-06-29,3,3948.93,15,10069.77,delivered
O00253,C0171,P014,2024-09-09,5,4450.74,5,21141.02,delivered
O00254,C0010,P006,2024-11-04,1,2339.17,0,2339.17,delivered
O00255,C0001,P026,2024-04-13,10,739.6,10,6656.4,delivered
O00256,C0057,P024,2024-03-16,1,402.94,5,382.79,processing
O00257,C0034,P040,2024-02-07,5,2724.58,0,13622.9,cancelled
O00258,C0123,P044,2024-06-03,1,160.62,0,160.62,cancelled
O00259,C0135,P049,2024-11-28,10,3222.41,0,32224.1,shipped
O00260,C0170,P047,2024-04-24,3,3602.77,5,10267.89,processing
O00261,C0118,P021,2024-05-30,3,3458.12,0,10374.36,shipped
O00262,C0173,P031,2024-10-17,5,2661.41,0,13307.05,shipped
O00263,C0186,P016,2024-02-23,2,2502.68,15,4254.56,delivered
O00264,C0024,P017,2024-06-12,1,4011.7,0,4011.7,processing
O00265,C0027,P049,2024-06-20,3,3222.41,0,9667.23,delivered
O00266,C0080,P005,2024-02-25,1,4073.13,10,3665.82,delivered
O00267,C0136,P032,2024-07-30,10,1270.56,0,12705.6,delivered
O00268,C0166,P030,2024-09-02,1,1878.9,10,1691.01,delivered
O00269,C0070,P012,2024-01-18,2,1804.15,0,3608.3,delivered
O00270,C0032,P005,2024-07-11,1,4073.13,0,4073.13,delivered
O00271,C0028,P026,2024-11-10,2,739.6,15,1257.32,shipped
O00272,C0134,P050,2024-08-10,1,1742.23,0,1742.23,delivered
O00273,C0064,P014,2024-10-10,2,4450.74,10,8011.33,shipped
O00274,C0084,P020,2024-02-19,1,1553.27,0,1553.27,delivered
O00275,C0150,P011,2024-01-02,1,1288.96,0,1288.96,delivered
O00276,C0200,P049,2024-04-12,2,3222.41,0,6444.82,delivered
O00277,C0193,P020,2024-08-30,10,1553.27,10,13979.43,delivered
O00278,C0123,P037,2024-12-04,2,2276.64,0,4553.28,shipped
O00279,C0121,P013,2024-07-14,1,1679.66,0,1679.66,delivered
O00280,C0084,P034,2024-04-25,2,1331.02,10,2395.84,delivered
O00281,C0048,P007,2024-06-25,1,4063.13,10,3656.82,delivered
O00282,C0178,P016,2024-07-17,2,2502.68,10,4504.82,delivered
O00283,C0163,P037,2024-04-30,2,2276.64,0,4553.28,delivered
O00284,C0009,P039,2024-09-21,2,1618.34,10,2913.01,shipped
O00285,C0188,P011,2024-08-17,1,1288.96,0,1288.96,cancelled
O00286,C0066,P014,2024-08-04,1,4450.74,0,4450.74,shipped
O00287,C0063,P049,2024-10-31,1,3222.41,0,3222.41,processing
O00288,C0021,P006,2024-07-22,1,2339.17,5,2222.21,processing
O00289,C0159,P036,2024-01-07,10,2471.25,10,22241.25,shipped
O00290,C0159,P032,2024-03-17,1,1270.56,0,1270.56,delivered
O00291,C0031,P007,2024-02-21,2,4063.13,10,7313.63,processing
O00292,C0107,P032,2024-12-01,1,1270.56,0,1270.56,shipped
O00293,C0010,P013,2024-03-14,1,1679.66,5,1595.68,shipped
O00294,C0124,P003,2024-06-18,1,3152.43,5,2994.81,delivered
O00295,C0146,P019,2024-01-11,5,1626.41,0,8132.05,shipped
O00296,C0097,P019,2024-12-22,5,1626.41,5,7725.45,cancelled
O00297,C0073,P010,2024-08-14,1,2591.45,10,2332.31,delivered
O00298,C0128,P045,2024-04-06,2,4024.19,0,8048.38,processing
O00299,C0126,P038,2024-07-10,3,466.31,10,1259.04,delivered
O00300,C0050,P005,2024-09-16,1,4073.13,0,4073.13,shipped
O00301,C0160,P043,2024-04-08,1,1028.86,15,874.53,delivered
O00302,C0016,P017,2024-01-26,1,4011.7,15,3409.95,shipped
O00303,C0088,P028,2024-09-15,5,1850.64,0,9253.2,cancelled
O00304,C0008,P017,2024-10-31,1,4011.7,0,4011.7,cancelled
O00305,C0146,P044,2024-06-25,2,160.62,0,321.24,processing
O00306,C0028,P020,2024-01-26,1,1553.27,0,1553.27,delivered
O00307,C0066,P016,2024-12-12,2,2502.68,0,5005.36,shipped
O00308,C0156,P002,2024-12-15,5,3948.93,0,19744.65,processing
O00309,C0195,P013,2024-01-05,2,1679.66,0,3359.32,shipped
O00310,C0096,P050,2024-07-11,1,1742.23,15,1480.9,delivered
O00311,C0067,P036,2024-09-23,1,2471.25,10,2224.13,delivered
O00312,C0032,P001,2024-12-05,2,4905.76,20,7849.22,processing
O00313,C0170,P050,2024-05-24,2,1742.23,0,3484.46,delivered
O00314,C0020,P026,2024-11-23,10,739.6,0,7396.0,delivered
O00315,C0197,P050,2024-03-17,1,1742.23,5,1655.12,delivered
O00316,C0016,P045,2024-06-12,2,4024.19,5,7645.96,shipped
O00317,C0197,P038,2024-05-12,10,466.31,15,3963.63,delivered
O00318,C0010,P044,2024-10-19,3,160.62,10,433.67,delivered
O00319,C0068,P041,2024-08-31,2,3567.68,15,6065.06,shipped
O00320,C0154,P021,2024-12-02,5,3458.12,15,14697.01,delivered
O00321,C0030,P037,2024-05-12,1,2276.64,10,2048.98,delivered
O00322,C0058,P026,2024-04-23,3,739.6,0,2218.8,shipped
O00323,C0096,P032,2024-06-18,3,1270.56,0,3811.68,delivered
O00324,C0143,P008,2024-11-20,2,2304.66,5,4378.85,cancelled
O00325,C0023,P037,2024-09-13,5,2276.64,0,11383.2,shipped
O00326,C0161,P021,2024-03-18,2,3458.12,0,6916.24,delivered
O00327,C0126,P043,2024-08-22,5,1028.86,0,5144.3,processing
O00328,C0058,P006,2024-11-19,2,2339.17,20,3742.67,delivered
O00329,C0016,P001,2024-04-17,2,4905.76,10,8830.37,delivered
O00330,C0050,P038,2024-02-15,3,466.31,0,1398.93,delivered
O00331,C0132,P031,2024-09-01,2,2661.41,0,5322.82,delivered
O00332,C0063,P028,2024-06-13,10,1850.64,10,16655.76,delivered
O00333,C0005,P001,2024-05-07,2,4905.76,0,9811.52,processing
O00334,C0097,P010,2024-09-14,1,2591.45,5,2461.88,delivered
O00335,C0013,P021,2024-08-21,10,3458.12,10,31123.08,delivered
O00336,C0105,P033,2024-03-09,5,2510.24,0,12551.2,processing
O00337,C0110,P014,2024-07-25,1,4450.74,0,4450.74,delivered
O00338,C0041,P015,2024-10-28,3,1951.61,5,5562.09,delivered
O00339,C0196,P003,2024-11-23,1,3152.43,0,3152.43,delivered
O00340,C0014,P045,2024-12-04,10,4024.19,0,40241.9,processing
O00341,C0014,P008,2024-07-13,2,2304.66,0,4609.32,delivered
O00342,C0049,P015,2024-11-18,3,1951.61,0,5854.83,delivered
O00343,C0031,P040,2024-11-06,1,2724.58,10,2452.12,delivered
O00344,C0032,P039,2024-03-01,3,1618.34,0,4855.02,shipped
O00345,C0152,P014,2024-05-14,2,4450.74,10,8011.33,cancelled
O00346,C0110,P032,2024-01-21,1,1270.56,5,1207.03,processing
O00347,C0148,P026,2024-01-07,1,739.6,5,702.62,processing
O00348,C0173,P038,2024-02-16,1,466.31,10,419.68,delivered
O00349,C0031,P018,2024-08-21,2,3024.18,20,4838.69,delivered
O00350,C0143,P004,2024-03-30,1,1682.61,15,1430.22,processing
O00351,C0112,P024,2024-02-29,2,402.94,0,805.88,shipped
O00352,C0013,P001,2024-12-05,5,4905.76,5,23302.36,delivered
O00353,C0136,P047,2024-02-17,1,3602.77,0,3602.77,delivered
O00354,C0035,P031,2024-08-21,2,2661.41,0,5322.82,delivered
O00355,C0147,P032,2024-03-26,2,1270.56,0,2541.12,shipped
O00356,C0018,P012,2024-10-29,1,1804.15,0,1804.15,delivered
O00357,C0136,P013,2024-07-02,2,1679.66,5,3191.35,processing
O00358,C0041,P037,2024-02-27,10,2276.64,15,19351.44,delivered
O00359,C0020,P018,2024-01-07,3,3024.18,10,8165.29,shipped
O00360,C0175,P043,2024-12-08,1,1028.86,15,874.53,delivered
O00361,C0188,P007,2024-05-07,2,4063.13,0,8126.26,shipped
O00362,C0194,P030,2024-10-12,1,1878.9,15,1597.07,shipped
O00363,C0003,P050,2024-09-15,10,1742.23,10,15680.07,processing
O00364,C0052,P005,2024-06-13,3,4073.13,0,12219.39,cancelled
O00365,C0014,P039,2024-11-25,1,1618.34,0,1618.34,processing
O00366,C0025,P036,2024-10-20,2,2471.25,0,4942.5,processing
O00367,C0139,P024,2024-09-11,1,402.94,10,362.65,delivered
O00368,C0125,P032,2024-10-08,1,1270.56,0,1270.56,delivered
O00369,C0183,P047,2024-09-17,2,3602.77,5,6845.26,shipped
O00370,C0141,P026,2024-01-28,1,739.6,10,665.64,processing
O00371,C0102,P042,2024-11-03,3,3974.66,0,11923.98,shipped
O00372,C0140,P008,2024-12-03,1,2304.66,0,2304.66,delivered
O00373,C0192,P020,2024-07-10,2,1553.27,10,2795.89,delivered
O00374,C0052,P038,2024-07-28,1,466.31,0,466.31,shipped
O00375,C0060,P008,2024-07-20,10,2304.66,0,23046.6,processing
O00376,C0060,P026,2024-07-31,1,739.6,0,739.6,shipped
O00377,C0178,P008,2024-08-18,3,2304.66,0,6913.98,delivered
O00378,C0154,P010,2024-01-03,10,2591.45,5,24618.78,delivered
O00379,C0134,P044,2024-09-17,2,160.62,10,289.12,processing
O00380,C0176,P013,2024-03-06,3,1679.66,0,5038.98,shipped
O00381,C0184,P024,2024-07-15,2,402.94,0,805.88,shipped
O00382,C0080,P019,2024-06-24,1,1626.41,20,1301.13,delivered
O00383,C0042,P010,2024-12-24,2,2591.45,15,4405.47,delivered
O00384,C0167,P024,2024-10-10,3,402.94,5,1148.38,delivered
O00385,C0189,P020,2024-12-10,3,1553.27,0,4659.81,shipped
O00386,C0057,P039,2024-11-22,2,1618.34,0,3236.68,delivered
O00387,C0109,P042,2024-10-19,2,3974.66,15,6756.92,shipped
O00388,C0162,P020,2024-08-04,5,1553.27,10,6989.72,delivered
O00389,C0007,P030,2024-12-09,1,1878.9,0,1878.9,delivered
O00390,C0051,P020,2024-03-15,3,1553.27,10,4193.83,shipped
