payment_id,order_id,amount,payment_method,payment_date,status
PAY00225,O00225,1382.45,ACH,2024-05-01,completed
PAY00226,O00226,23476.88,ACH,2024-02-16,completed
PAY00227,O00227,2661.41,Wire Transfer,2024-10-18,completed
PAY00228,O00228,3409.95,ACH,2024-06-10,completed
PAY00229,O00229,805.88,ACH,2024-05-02,completed
PAY00230,O00230,4063.13,PayPal,2024-03-28,pending
PAY00231,O00231,3567.68,PayPal,2024-04-19,pending
PAY00232,O00232,2339.17,PayPal,2024-12-20,completed
PAY00233,O00233,3152.43,ACH,2024-06-17,pending
PAY00234,O00234,5322.82,PayPal,2024-12-13,completed
PAY00235,O00235,37514.84,Wire Transfer,2024-08-22,completed
PAY00236,O00236,2471.25,Wire Transfer,2024-03-13,completed
PAY00237,O00237,2591.45,PayPal,2024-07-27,completed
PAY00238,O00238,3976.59,Wire Transfer,2024-05-14,completed
PAY00239,O00239,40056.66,Wire Transfer,2024-08-18,completed
PAY00240,O00240,2304.66,Wire Transfer,2024-08-26,failed
PAY00241,O00241,5056.68,PayPal,2024-07-17,completed
PAY00242,O00242,1427.71,PayPal,2024-08-17,completed
PAY00243,O00243,3602.77,ACH,2024-05-31,failed
PAY00244,O00244,1682.61,ACH,2024-07-15,failed
PAY00245,O00245,7221.06,Wire Transfer,2024-10-07,failed
PAY00246,O00246,4553.28,Wire Transfer,2024-09-08,completed
PAY00247,O00247,1878.9,ACH,2024-01-14,completed
PAY00248,O00248,7992.4,ACH,2024-08-31,completed
PAY00249,O00249,1804.15,Invoice,2024-12-05,completed
PAY00250,O00250,5005.36,Invoice,2024-07-18,completed
PAY00251,O00251,1511.69,Wire Transfer,2024-06-13,completed
PAY00252,O00252,10069.77,Credit Card,2024-07-02,completed
PAY00253,O00253,21141.02,PayPal,2024-09-11,completed
PAY00254,O00254,2339.17,Wire Transfer,2024-11-06,completed
PAY00255,O00255,6656.4,PayPal,2024-04-15,pending
PAY00256,O00256,382.79,Invoice,2024-03-18,completed
PAY00257,O00257,13622.9,Wire Transfer,2024-02-08,failed
PAY00258,O00258,160.62,Invoice,2024-06-04,failed
PAY00259,O00259,32224.1,PayPal,2024-11-29,completed
PAY00260,O00260,10267.89,ACH,2024-04-24,completed
PAY00261,O00261,10374.36,PayPal,2024-05-30,completed
PAY00262,O00262,13307.05,Credit Card,2024-10-19,completed
PAY00263,O00263,4254.56,Invoice,2024-02-26,completed
PAY00264,O00264,4011.7,Credit Card,2024-06-14,pending
PAY00265,O00265,9667.23,ACH,2024-06-21,completed
PAY00266,O00266,3665.82,Credit Card,2024-02-27,completed
PAY00267,O00267,12705.6,Credit Card,2024-07-31,completed
PAY00268,O00268,1691.01,Invoice,2024-09-05,completed
PAY00269,O00269,3608.3,ACH,2024-01-20,completed
PAY00270,O00270,4073.13,Invoice,2024-07-13,completed
PAY00271,O00271,1257.32,Wire Transfer,2024-11-11,pending
PAY00272,O00272,1742.23,ACH,2024-08-10,failed
PAY00273,O00273,8011.33,Invoice,2024-10-11,completed
PAY00274,O00274,1553.27,Wire Transfer,2024-02-21,completed
PAY00275,O00275,1288.96,Credit Card,2024-01-05,completed
PAY00276,O00276,6444.82,Wire Transfer,2024-04-13,completed
PAY00277,O00277,13979.43,PayPal,2024-08-30,completed
PAY00278,O00278,4553.28,Wire Transfer,2024-12-07,completed
PAY00279,O00279,1679.66,Invoice,2024-07-17,completed
PAY00280,O00280,2395.84,ACH,2024-04-28,completed
PAY00281,O00281,3656.82,PayPal,2024-06-27,completed
PAY00282,O00282,4504.82,ACH,2024-07-20,completed
PAY00283,O00283,4553.28,ACH,2024-05-01,completed
PAY00284,O00284,2913.01,Credit Card,2024-09-21,failed
PAY00285,O00285,1288.96,ACH,2024-08-20,failed
PAY00286,O00286,4450.74,Invoice,2024-08-07,completed
PAY00287,O00287,3222.41,ACH,2024-11-03,completed
PAY00288,O00288,2222.21,Invoice,2024-07-24,completed
PAY00289,O00289,22241.25,ACH,2024-01-07,pending
PAY00290,O00290,1270.56,Invoice,2024-03-17,completed
PAY00291,O00291,7313.63,PayPal,2024-02-22,completed
PAY00292,O00292,1270.56,Wire Transfer,2024-12-01,completed
PAY00293,O00293,1595.68,Wire Transfer,2024-03-15,completed
PAY00294,O00294,2994.81,ACH,2024-06-20,completed
PAY00295,O00295,8132.05,ACH,2024-01-14,completed
PAY00296,O00296,7725.45,PayPal,2024-12-25,refunded
PAY00297,O00297,2332.31,PayPal,2024-08-17,completed
PAY00298,O00298,8048.38,Wire Transfer,2024-04-06,completed
PAY00299,O00299,1259.04,ACH,2024-07-10,completed
PAY00300,O00300,4073.13,Invoice,2024-09-16,completed
PAY00301,O00301,874.53,PayPal,2024-04-09,completed
PAY00302,O00302,3409.95,Wire Transfer,2024-01-27,completed
PAY00303,O00303,9253.2,Invoice,2024-09-16,refunded
PAY00304,O00304,4011.7,PayPal,2024-11-02,failed
PAY00305,O00305,321.24,Credit Card,2024-06-28,completed
PAY00306,O00306,1553.27,PayPal,2024-01-28,completed
PAY00307,O00307,5005.36,Invoice,2024-12-15,completed
PAY00308,O00308,19744.65,Invoice,2024-12-16,completed
PAY00309,O00309,3359.32,Invoice,2024-01-06,completed
PAY00310,O00310,1480.9,Credit Card,2024-07-13,completed
PAY00311,O00311,2224.13,Invoice,2024-09-25,completed
PAY00312,O00312,7849.22,PayPal,2024-12-06,pending
PAY00313,O00313,3484.46,Invoice,2024-05-24,completed
PAY00314,O00314,7396.0,Invoice,2024-11-25,completed
PAY00315,O00315,1655.12,Invoice,2024-03-18,completed
PAY00316,O00316,7645.96,ACH,2024-06-13,completed
PAY00317,O00317,3963.63,Credit Card,2024-05-15,pending
PAY00318,O00318,433.67,Credit Card,2024-10-22,completed
PAY00319,O00319,6065.06,Wire Transfer,2024-09-03,completed
PAY00320,O00320,14697.01,PayPal,2024-12-02,completed
PAY00321,O00321,2048.98,Wire Transfer,2024-05-13,pending
PAY00322,O00322,2218.8,Wire Transfer,2024-04-25,completed
PAY00323,O00323,3811.68,ACH,2024-06-20,pending
PAY00324,O00324,4378.85,Wire Transfer,2024-11-20,failed
PAY00325,O00325,11383.2,Wire Transfer,2024-09-15,completed
PAY00326,O00326,6916.24,Credit Card,2024-03-20,completed
PAY00327,O00327,5144.3,ACH,2024-08-23,completed
PAY00328,O00328,3742.67,ACH,2024-11-22,completed
PAY00329,O00329,8830.37,Invoice,2024-04-20,completed
PAY00330,O00330,1398.93,PayPal,2024-02-18,completed
PAY00331,O00331,5322.82,Wire Transfer,2024-09-03,completed
PAY00332,O00332,16655.76,Credit Card,2024-06-13,completed
PAY00333,O00333,9811.52,Credit Card,2024-05-07,pending
PAY00334,O00334,2461.88,ACH,2024-09-14,pending
PAY00335,O00335,31123.08,Credit Card,2024-08-22,completed
PAY00336,O00336,12551.2,Wire Transfer,2024-03-10,completed
PAY00337,O00337,4450.74,Credit Card,2024-07-27,failed
PAY00338,O00338,5562.09,ACH,2024-10-28,completed
PAY00339,O00339,3152.43,ACH,2024-11-23,completed
PAY00340,O00340,40241.9,Wire Transfer,2024-12-07,completed
PAY00341,O00341,4609.32,PayPal,2024-07-13,completed
PAY00342,O00342,5854.83,Credit Card,2024-11-18,completed
PAY00343,O00343,2452.12,Invoice,2024-11-09,completed
PAY00344,O00344,4855.02,ACH,2024-03-03,completed
PAY00345,O00345,8011.33,Credit Card,2024-05-17,refunded
PAY00346,O00346,1207.03,Wire Transfer,2024-01-22,completed
PAY00347,O00347,702.62,Credit Card,2024-01-10,completed
PAY00348,O00348,419.68,PayPal,2024-02-19,completed
PAY00349,O00349,4838.69,Invoice,2024-08-21,completed
PAY00350,O00350,1430.22,ACH,2024-03-30,pending
PAY00351,O00351,805.88,Wire Transfer,2024-03-03,completed
PAY00352,O00352,23302.36,ACH,2024-12-05,pending
PAY00353,O00353,3602.77,Wire Transfer,2024-02-18,failed
PAY00354,O00354,5322.82,Credit Card,2024-08-21,completed
PAY00355,O00355,2541.12,Invoice,2024-03-29,pending
PAY00356,O00356,1804.15,Wire Transfer,2024-11-01,failed
PAY00357,O00357,3191.35,ACH,2024-07-02,completed
PAY00358,O00358,19351.44,PayPal,2024-02-29,completed
PAY00359,O00359,8165.29,ACH,2024-01-08,pending
PAY00360,O00360,874.53,Invoice,2024-12-10,completed
PAY00361,O00361,8126.26,ACH,2024-05-09,completed
PAY00362,O00362,1597.07,ACH,2024-10-15,completed
PAY00363,O00363,15680.07,ACH,2024-09-17,completed
PAY00364,O00364,12219.39,Invoice,2024-06-16,refunded
PAY00365,O00365,1618.34,Credit Card,2024-11-28,completed
PAY00366,O00366,4942.5,ACH,2024-10-21,completed
PAY00367,O00367,362.65,PayPal,2024-09-14,pending
PAY00368,O00368,1270.56,Credit Card,2024-10-09,completed
PAY00369,O00369,6845.26,Invoice,2024-09-18,completed
PAY00370,O00370,665.64,Invoice,2024-01-29,completed
PAY00371,O00371,11923.98,PayPal,2024-11-04,completed
PAY00372,O00372,2304.66,Credit Card,2024-12-06,completed
PAY00373,O00373,2795.89,Invoice,2024-07-10,failed
PAY00374,O00374,466.31,ACH,2024-07-28,completed
PAY00375,O00375,23046.6,Wire Transfer,2024-07-21,pending
PAY00376,O00376,739.6,PayPal,2024-08-02,completed
PAY00377,O00377,6913.98,Invoice,2024-08-20,completed
PAY00378,O00378,24618.78,Wire Transfer,2024-01-06,pending
PAY00379,O00379,289.12,Credit Card,2024-09-20,completed
PAY00380,O00380,5038.98,Wire Transfer,2024-03-09,completed
PAY00381,O00381,805.88,Credit Card,2024-07-16,pending
PAY00382,O00382,1301.13,PayPal,2024-06-24,pending
PAY00383,O00383,4405.47,ACH,2024-12-24,completed
PAY00384,O00384,1148.38,ACH,2024-10-13,completed
PAY00385,O00385,4659.81,Wire Transfer,2024-12-10,pending
PAY00386,O00386,3236.68,ACH,2024-11-22,completed
PAY00387,O00387,6756.92,Credit Card,2024-10-20,completed
PAY00388,O00388,6989.72,Credit Card,2024-08-07,completed
PAY00389,O00389,1878.9,PayPal,2024-12-11,completed
PAY00390,O00390,4193.83,ACH,2024-03-17,completed
PAY00391,O00391,5854.83,ACH,2024-01-18,completed
PAY00392,O00392,18879.64,Invoice,2024-11-30,completed
PAY00393,O00393,16826.1,Credit Card,2024-07-20,completed
PAY00394,O00394,3974.66,Credit Card,2024-05-10,completed
PAY00395,O00395,22524.12,PayPal,2024-12-29,completed
PAY00396,O00396,9632.74,Invoice,2024-04-13,refunded
PAY00397,O00397,1331.02,Credit Card,2024-12-18,failed
PAY00398,O00398,2304.66,Credit Card,2024-08-10,completed
PAY00399,O00399,803.1,Credit Card,2024-01-03,completed
PAY00400,O00400,2994.81,PayPal,2024-06-14,completed
PAY00401,O00401,18013.85,Wire Transfer,2024-06-05,completed
PAY00402,O00402,11608.42,ACH,2024-06-11,failed
PAY00403,O00403,12219.39,Wire Transfer,2024-03-25,completed
PAY00404,O00404,192.79,Credit Card,2024-04-19,completed
PAY00405,O00405,18540.3,Invoice,2024-11-12,refunded
PAY00406,O00406,4905.76,PayPal,2024-06-27,completed
PAY00407,O00407,3422.63,Invoice,2024-01-24,completed
PAY00408,O00408,1878.9,ACH,2024-05-24,completed
PAY00409,O00409,8091.7,Wire Transfer,2024-08-19,completed
PAY00410,O00410,3783.13,Wire Transfer,2024-02-14,pending
PAY00411,O00411,3567.68,PayPal,2024-02-05,completed
PAY00412,O00412,11923.64,Credit Card,2024-04-16,completed
PAY00413,O00413,7840.03,Wire Transfer,2024-02-09,completed
PAY00414,O00414,739.6,PayPal,2024-02-08,completed
PAY00415,O00415,6924.32,Wire Transfer,2024-04-27,completed
PAY00416,O00416,6444.82,Wire Transfer,2024-06-13,completed
PAY00417,O00417,9811.52,Credit Card,2024-11-12,completed
PAY00418,O00418,4073.13,Invoice,2024-09-15,completed
PAY00419,O00419,4024.19,PayPal,2024-08-15,completed
PAY00420,O00420,2276.64,Credit Card,2024-04-25,completed
PAY00421,O00421,15532.7,Invoice,2024-03-16,completed
PAY00422,O00422,17581.08,Credit Card,2024-01-09,completed
PAY00423,O00423,3152.43,Credit Card,2024-11-04,completed
PAY00424,O00424,3458.12,ACH,2024-06-27,completed
PAY00425,O00425,1224.51,Wire Transfer,2024-04-24,completed
PAY00426,O00426,4283.13,Credit Card,2024-10-18,completed
PAY00427,O00427,4942.5,PayPal,2024-02-08,completed
PAY00428,O00428,10681.78,Invoice,2024-09-08,completed
PAY00429,O00429,4011.7,Wire Transfer,2024-11-13,completed
PAY00430,O00430,1331.02,Invoice,2024-12-03,completed
PAY00431,O00431,823.09,Wire Transfer,2024-06-11,completed
PAY00432,O00432,10831.59,Credit Card,2025-01-02,completed
PAY00433,O00433,6608.2,Credit Card,2024-06-18,completed
PAY00434,O00434,6916.24,Invoice,2024-02-27,completed
PAY00435,O00435,12957.25,Wire Transfer,2024-04-12,completed
PAY00436,O00436,19347.37,PayPal,2024-09-17,completed
PAY00437,O00437,6786.6,PayPal,2024-04-19,pending
PAY00438,O00438,7135.36,Credit Card,2024-03-18,completed
PAY00439,O00439,1475.61,Wire Transfer,2024-09-13,completed
PAY00440,O00440,13981.42,Credit Card,2024-11-11,completed
PAY00441,O00441,1131.37,Invoice,2024-10-16,completed
PAY00442,O00442,22766.4,ACH,2024-01-24,completed
PAY00443,O00443,2872.97,PayPal,2024-01-24,pending
PAY00444,O00444,3194.13,Credit Card,2024-08-23,completed
PAY00445,O00445,382.79,Credit Card,2024-09-26,pending
PAY00446,O00446,321.24,PayPal,2024-04-01,completed
PAY00447,O00447,8275.59,Wire Transfer,2024-02-10,completed
PAY00448,O00448,5449.16,Wire Transfer,2024-06-28,completed
PAY00449,O00449,9811.52,PayPal,2024-03-14,completed
PAY00450,O00450,1742.23,Invoice,2024-03-20,completed
PAY00451,O00451,4504.82,Invoice,2024-06-18,completed
PAY00452,O00452,2162.81,Credit Card,2024-03-24,completed
PAY00453,O00453,3152.43,ACH,2024-11-02,completed
PAY00454,O00454,1028.86,ACH,2024-03-28,completed
PAY00455,O00455,40241.9,ACH,2024-11-24,pending
PAY00456,O00456,15532.7,PayPal,2024-04-23,failed
